ATCOCode,CommonName,Street,NptgLocalityCode,LocalityName,GridType,Longitude,Latitude,StopType,BusStopType,TimingStatus,Status
1980SN120668,Wodehouse Road,Bishops Road,E0041994,Itchen,UKOS,-1.36911,50.90216,BCT,MKD,OTH,active
1980SNA90916,Wodehouse Road,Bishops Road,E0041994,Itchen,UKOS,-1.36835,50.90255,BCT,MKD,OTH,inactive
1980SN120690,St Monica School,Kathleen Road,E0042023,Sholing,UKOS,-1.35671,50.899,BCT,MKD,OTH,active
1980SN120689,St Monica School,Kathleen Road,E0042023,Sholing,UKOS,-1.35679,50.89912,BCT,MKD,OTH,active
1980SN120692,Alfriston Gardens,Kathleen Road,E0042023,Sholing,UKOS,-1.35102,50.90239,BCT,MKD,OTH,active
1980HAA13665,Alfriston Gardens,Kathleen Road,E0042023,Sholing,UKOS,-1.35077,50.9026,BCT,MKD,OTH,active
1980SN120693,Drove Road,Kathleen Road,E0042023,Sholing,UKOS,-1.34804,50.90397,BCT,MKD,OTH,active
1980SN120694,Drove Road,Kathleen Road,E0042023,Sholing,UKOS,-1.34832,50.90374,BCT,MKD,OTH,active
1980SN120682,Spike Islander,South East Road,E0042023,Sholing,UKOS,-1.35633,50.90197,BCT,MKD,OTH,active
1980SN120687,South East Road,Kathleen Road,E0042023,Sholing,UKOS,-1.3542,50.90011,BCT,MKD,OTH,active
1980SN120684,South East Road,Kathleen Road,E0042023,Sholing,UKOS,-1.35361,50.90085,BCT,MKD,OTH,active
1980SN120686,Kathleen Road,South East Road,E0042023,Sholing,UKOS,-1.35438,50.90066,BCT,MKD,OTH,active
1980SNA09388,Monks Wood Close,Bassett Green Road,E0041968,Bassett Green,UKOS,-1.39423,50.94733,BCT,MKD,OTH,inactive
1980SNA09412,Meredith Towers,Tunstall Road,N0073220,Thornhill,UKOS,-1.32981,50.90415,BCT,MKD,OTH,active
1980SN121059,Burgoyne Road,Burgoyne Road,N0073220,Thornhill,UKOS,-1.33074,50.90301,BCT,MKD,OTH,active
1980SNA09437,Radway Road,Wilton Road,E0042018,Shirley,UKOS,-1.41981,50.92246,BCT,CUS,OTH,inactive
1980SNA09436,Radway Road,Wilton Road,E0042018,Shirley,UKOS,-1.42053,50.92283,BCT,CUS,OTH,inactive
1980SNA09343,WestQuay,Portland Terrace,N0077117,Southampton City Centre,UKOS,-1.40594,50.90357,BCT,MKD,OTH,active
1980HAA13582,WestQuay,Portland Terrace,N0077117,Southampton City Centre,UKOS,-1.40581,50.9031,BCT,MKD,OTH,active
1980HAA13583,WestQuay,Portland Terrace,N0077117,Southampton City Centre,UKOS,-1.40574,50.90361,BCT,MKD,OTH,active
1980SNA09341,WestQuay,Portland Terrace,N0077117,Southampton City Centre,UKOS,-1.4058,50.90387,BCT,MKD,OTH,active
1980SN120026,Menzies Close,Sutherland Road,N0073217,Lord's Hill,UKOS,-1.44984,50.9444,BCT,MKD,OTH,active
1980SN120025,Erskine Court,Sutherland Road,N0073217,Lord's Hill,UKOS,-1.44627,50.94528,BCT,MKD,OTH,active
1980SN120024,Sinclair Road,Matheson Road,N0073217,Lord's Hill,UKOS,-1.44509,50.94621,BCT,MKD,OTH,active
1980SN120023,Forbes Close,Buchanan Road,N0073217,Lord's Hill,UKOS,-1.44768,50.94696,BCT,MKD,OTH,active
1980SN120019,Fraser Close,Buchanan Road,N0073217,Lord's Hill,UKOS,-1.44903,50.94646,BCT,MKD,OTH,active
1980SNA09572,St Mark's School,Shirley Road,E0042018,Shirley,UKOS,-1.4253,50.9159,BCT,MKD,OTH,active
1980SNA09577,Weston Park,Weston Parade,N0073222,Weston,UKOS,-1.36968,50.88469,BCT,CUS,OTH,inactive
1980SNA09576,Weston Park,Weston Parade,N0073222,Weston,UKOS,-1.36954,50.88482,BCT,CUS,OTH,inactive
1980SNA09593,Glenfield Avenue,Mousehole Lane,E0041975,Bitterne,UKOS,-1.36617,50.92058,BCT,CUS,OTH,active
1980SN120435,Glenfield Avenue,Mousehole Lane,E0041975,Bitterne,UKOS,-1.36477,50.92075,BCT,MKD,OTH,active
1980SNA10143,Houndwell Park,Hanover Buildings,N0077117,Southampton City Centre,UKOS,-1.40208,50.90302,BCT,MKD,OTH,active
1980SNA09450,Butterfield Road,Burgess Road,E0041967,Bassett,UKOS,-1.41247,50.93479,BCT,MKD,OTH,active
